,gu,dong,code,income_level,pop_density,label,address
300,영등포구,대림1동,1156070000,6.0,33331,3,서울특별시 영등포구 대림1동
301,영등포구,대림2동,1156071000,6.0,38855,3,서울특별시 영등포구 대림2동
302,영등포구,대림3동,1156072000,7.0,30145,1,서울특별시 영등포구 대림3동
303,동작구,노량진1동,1159051000,8.0,20609,2,서울특별시 동작구 노량진1동
304,동작구,노량진2동,1159052000,6.0,21545,3,서울특별시 동작구 노량진2동
305,동작구,상도1동,1159053000,8.0,31889,1,서울특별시 동작구 상도1동
306,동작구,상도2동,1159054000,8.0,29867,1,서울특별시 동작구 상도2동
307,동작구,상도3동,1159055000,6.0,43402,3,서울특별시 동작구 상도3동
308,동작구,상도4동,1159056000,6.0,39857,3,서울특별시 동작구 상도4동
309,동작구,흑석동,1159060500,8.0,21161,2,서울특별시 동작구 흑석동
310,동작구,사당1동,1159062000,7.0,30413,1,서울특별시 동작구 사당1동
311,동작구,사당2동,1159063000,8.0,10287,2,서울특별시 동작구 사당2동
312,동작구,사당3동,1159064000,8.0,28298,1,서울특별시 동작구 사당3동
313,동작구,사당4동,1159065000,7.0,39266,1,서울특별시 동작구 사당4동
314,동작구,사당5동,1159065100,7.0,22607,0,서울특별시 동작구 사당5동
315,동작구,대방동,1159066000,7.0,25921,1,서울특별시 동작구 대방동
316,동작구,신대방1동,1159067000,8.0,42902,1,서울특별시 동작구 신대방1동
317,동작구,신대방2동,1159068000,7.0,20116,0,서울특별시 동작구 신대방2동
318,관악구,보라매동,1162052500,6.0,34863,3,서울특별시 관악구 보라매동
319,관악구,청림동,1162054500,8.0,54287,1,서울특별시 관악구 청림동
320,관악구,성현동,1162056500,7.0,45846,1,서울특별시 관악구 성현동
321,관악구,행운동,1162057500,7.0,41751,1,서울특별시 관악구 행운동
322,관악구,낙성대동,1162058500,7.0,7763,0,서울특별시 관악구 낙성대동
323,관악구,청룡동,1162059500,6.0,29186,3,서울특별시 관악구 청룡동
324,관악구,은천동,1162060500,7.0,45304,1,서울특별시 관악구 은천동
325,관악구,중앙동,1162061500,6.0,40756,3,서울특별시 관악구 중앙동
326,관악구,인헌동,1162062500,6.0,25081,3,서울특별시 관악구 인헌동
327,관악구,남현동,1162063000,7.0,5804,0,서울특별시 관악구 남현동
328,관악구,서원동,1162064500,6.0,37028,3,서울특별시 관악구 서원동
329,관악구,신원동,1162065500,6.0,35895,3,서울특별시 관악구 신원동
330,관악구,서림동,1162066500,6.0,24585,3,서울특별시 관악구 서림동
331,관악구,신사동,1162068500,6.0,40563,3,서울특별시 관악구 신사동
332,관악구,신림동,1162069500,6.0,41713,3,서울특별시 관악구 신림동
333,관악구,난향동,1162071500,7.0,20493,0,서울특별시 관악구 난향동
334,관악구,조원동,1162072500,6.0,29222,3,서울특별시 관악구 조원동
335,관악구,대학동,1162073500,6.0,2947,0,서울특별시 관악구 대학동
336,관악구,삼성동,1162074500,6.0,9483,0,서울특별시 관악구 삼성동
337,관악구,미성동,1162076500,6.0,23733,3,서울특별시 관악구 미성동
338,관악구,난곡동,1162077500,5.0,30117,3,서울특별시 관악구 난곡동
339,서초구,서초1동,1165051000,9.0,15196,2,서울특별시 서초구 서초1동
